Date,Time,Relative Time(mS),CPU0-Frequency(MHz),CPU0-DTS(Degree C),Power-EWMA Power(Watts),Power-IA Power(Watts),Power-GT Power(Watts),Power-Rest of Package Power(Watts),Power-Package Power(Watts),Power-PECI Psys Power(Watts),Power-SA Power(Watts),Voltage-IA Target voltage(Volts),Voltage-GT Target Voltage(Volts)
17/08/2022,17:34:33:852,27246159,1524,75,15.203864,9.235010,0.326703,5.389134,14.950847,31.325679,4.280759,1.026611,0.000000
17/08/2022,17:34:34:850,27247157,2395,77,15.318011,11.812038,0.457105,6.068151,18.337295,36.375216,4.902499,0.951294,0.000000
17/08/2022,17:34:35:880,27248187,2349,88,15.329744,9.573520,0.316685,5.757323,15.647529,32.863843,4.609899,0.896484,0.000000
17/08/2022,17:34:36:804,27249111,2163,78,15.273000,7.689304,0.283606,5.814280,13.787190,29.992865,4.665160,1.056763,0.000000
17/08/2022,17:34:37:874,27250181,2368,83,15.283369,9.603261,0.321029,5.662926,15.587216,32.286542,4.536418,1.046387,0.000000
17/08/2022,17:34:38:788,27251095,2450,74,15.141659,5.670280,0.277567,5.627213,11.575061,27.321618,4.507418,1.038208,0.000000
17/08/2022,17:34:39:872,27252179,2327,81,15.300372,13.223483,0.565059,6.209910,19.998452,39.142809,5.015756,1.015503,0.000000
17/08/2022,17:34:40:821,27253128,2407,79,15.252266,8.322628,0.324038,5.411127,14.057793,29.963701,4.302528,1.149658,0.000000
17/08/2022,17:34:41:857,27254164,3303,89,15.301224,10.677358,0.283309,5.736083,16.696749,33.964844,4.583811,1.027710,0.000000
17/08/2022,17:34:42:856,27255163,2419,77,15.267360,8.562125,0.333160,5.490690,14.385975,30.863954,4.364485,1.045776,0.000000
17/08/2022,17:34:43:842,27256149,2374,77,15.343019,11.144114,0.275392,5.970559,17.390066,34.963867,4.805465,0.955322,0.000000
17/08/2022,17:34:44:838,27257145,2254,76,15.315702,8.563121,0.306042,5.698121,14.567284,31.096388,4.575716,1.029541,1.031250
17/08/2022,17:34:45:843,27258150,2489,80,15.314009,9.327042,0.288017,5.653044,15.268104,31.735593,4.522417,1.021118,0.000000
17/08/2022,17:34:46:804,27259111,2168,78,15.205185,7.113966,0.265761,4.902368,12.282095,27.229294,3.860170,1.236450,0.000000
17/08/2022,17:34:47:850,27260157,2906,82,15.370339,13.180545,0.479644,6.356993,20.017181,39.582855,5.138703,0.900513,0.000000
17/08/2022,17:34:48:869,27261176,2335,75,15.236039,6.132722,0.364171,5.281844,11.778736,26.720561,4.191780,0.979370,0.000000
