Date,Time,Relative Time(mS),CPU0-Frequency(MHz),CPU0-DTS(Degree C),Power-EWMA Power(Watts),Power-IA Power(Watts),Power-GT Power(Watts),Power-Rest of Package Power(Watts),Power-Package Power(Watts),Power-Effective EWMA PeciMmio(Watts),Power-MSR Psys Power(Watts),Power-SA Power(Watts),Voltage-IA Target voltage(Volts),Voltage-GT Target Voltage(Volts)
18/08/2022,12:15:29:173,5656796,1044,45,6.589994,1.306899,0.098379,4.725603,6.130880,6.933913,18.659844,3.782035,0.739136,0.000000
18/08/2022,12:15:30:160,5657783,1398,45,6.605058,2.114041,0.099395,4.796661,7.010098,6.936642,19.913206,3.827464,0.733765,0.000000
18/08/2022,12:15:31:186,5658809,1318,45,6.590927,1.354708,0.094985,4.754496,6.204190,6.910823,18.713515,3.774666,0.768677,0.921875
18/08/2022,12:15:32:165,5659788,2066,47,6.589417,1.624451,0.096907,4.828340,6.549698,6.897591,19.655164,3.877398,0.763062,0.000000
18/08/2022,12:15:33:171,5660794,1298,46,6.599353,1.780845,0.093388,4.998786,6.873019,6.896730,20.413763,4.027510,0.746826,0.000000
18/08/2022,12:15:34:181,5661804,1427,45,6.580359,1.301719,0.096624,4.671831,6.070174,6.867062,18.201690,3.665204,0.729492,0.000000
18/08/2022,12:15:35:170,5662793,1283,45,6.571582,1.508958,0.096568,4.731494,6.337020,6.951887,19.042182,3.788531,0.736328,0.000000
18/08/2022,12:15:36:177,5663800,1108,43,6.555140,1.287293,0.095965,4.722852,6.106110,6.922013,18.610729,3.754927,0.732056,0.000000
18/08/2022,12:15:37:189,5664812,1425,45,6.536125,1.342107,0.094795,4.589500,6.026403,6.889835,18.169505,3.642714,0.776245,0.921875
18/08/2022,12:15:38:181,5665804,1398,45,6.552014,1.830390,0.096266,5.049964,6.976621,6.876870,20.738853,4.059955,0.729248,0.000000
